17 50 70
4
10 3
20 3
30 3
40 3
2-9 3-9 4
2-9 2-10 6
2-10 3-10 3
2-10 2-11 5
2-10 2-9 4
2-11 3-11 2
2-11 2-10 6
3-6 4-6 4
3-6 3-7 6
3-7 4-7 3
3-7 3-8 4
3-7 3-6 5
3-8 4-8 4
3-8 3-9 4
3-8 3-7 4
3-9 2-9 8
3-9 4-9 2
3-9 3-10 5
3-9 3-8 4
3-10 2-10 9
3-10 4-10 4
3-10 3-11 5
3-10 3-9 5
3-11 2-11 7
3-11 4-11 2
3-11 3-12 4
3-11 3-10 4
3-12 4-12 2
3-12 3-13 4
3-12 3-11 5
3-13 4-13 3
3-13 3-12 5
4-4 5-4 3
4-4 4-5 4
4-5 5-5 3
4-5 4-6 5
4-5 4-4 4
4-6 3-6 9
4-6 5-6 3
4-6 4-7 4
4-6 4-5 5
4-7 3-7 7
4-7 5-7 3
4-7 4-8 5
4-7 4-6 6
4-8 3-8 9
4-8 5-8 2
4-8 4-9 4
4-8 4-7 5
4-9 3-9 8
4-9 5-9 3
4-9 4-10 4
4-9 4-8 6
4-10 3-10 7
4-10 5-10 2
4-10 4-11 6
4-10 4-9 4
4-11 3-11 7
4-11 5-11 3
4-11 4-12 4
4-11 4-10 6
4-12 3-12 8
4-12 5-12 4
4-12 4-13 5
4-12 4-11 5
4-13 3-13 7
4-13 5-13 3
4-13 4-14 6
4-13 4-12 5
4-14 5-14 4
4-14 4-15 6
4-14 4-13 5
4-15 5-15 2
4-15 4-14 6
5-2 6-2 3
5-2 5-3 4
5-3 6-3 3
5-3 5-4 4
5-3 5-2 4
5-4 4-4 8
5-4 6-4 3
5-4 5-5 4
5-4 5-3 6
5-5 4-5 7
5-5 6-5 2
5-5 5-6 6
5-5 5-4 5
5-6 4-6 7
5-6 6-6 3
5-6 5-7 5
5-6 5-5 4
5-7 4-7 9
5-7 6-7 2
5-7 5-8 5
5-7 5-6 6
5-8 4-8 7
5-8 6-8 2
5-8 5-9 5
5-8 5-7 5
5-9 4-9 8
5-9 6-9 3
5-9 5-10 6
5-9 5-8 4
5-10 4-10 8
5-10 6-10 3
5-10 5-11 5
5-10 5-9 5
5-11 4-11 8
5-11 6-11 2
5-11 5-12 4
5-11 5-10 6
5-12 4-12 7
5-12 6-12 2
5-12 5-13 5
5-12 5-11 5
5-13 4-13 8
5-13 6-13 2
5-13 5-14 4
5-13 5-12 6
5-14 4-14 9
5-14 6-14 3
5-14 5-15 4
5-14 5-13 5
5-15 4-15 8
5-15 6-15 2
5-15 5-16 4
5-15 5-14 5
5-16 6-16 2
5-16 5-17 5
5-16 5-15 5
5-17 6-17 3
5-17 5-16 5
6-1 7-1 2
6-1 6-2 6
6-2 5-2 9
6-2 7-2 2
6-2 6-3 4
6-2 6-1 4
6-3 5-3 7
6-3 7-3 3
6-3 6-4 6
6-3 6-2 5
6-4 5-4 9
6-4 7-4 3
6-4 6-5 5
6-4 6-3 6
6-5 5-5 8
6-5 7-5 4
6-5 6-6 6
6-5 6-4 4
6-6 5-6 7
6-6 7-6 2
6-6 6-7 5
6-6 6-5 5
6-7 5-7 9
6-7 7-7 3
6-7 6-8 6
6-7 6-6 6
6-8 5-8 9
6-8 7-8 2
6-8 6-9 5
6-8 6-7 6
6-9 5-9 7
6-9 7-9 2
6-9 6-10 5
6-9 6-8 4
6-10 5-10 8
6-10 7-10 3
6-10 6-11 5
6-10 6-9 5
6-11 5-11 8
6-11 7-11 2
6-11 6-12 6
6-11 6-10 6
6-12 5-12 8
6-12 7-12 3
6-12 6-13 4
6-12 6-11 4
6-13 5-13 7
6-13 7-13 4
6-13 6-14 5
6-13 6-12 6
